,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SCREEN,,,,REPORT,,,,,DATA LAST UPDATED,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unsaved,,,,Unsaved Screening Default,,,,,Asia                Europe            Americas,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,4/26/16            4/26/16            4/26/16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,Symbol,Country,Market Capitalization (bil) [USD],Price Return - Absolute 01 Week,Price Return - Absolute 02 Weeks,Price Return - Absolute 04 Weeks,Price Return - Absolute 13 Weeks,Price Return - Absolute 26 Weeks,Price Return - Absolute 3 Weeks,Price Return - Absolute 39 Weeks,Price Return - Absolute 52 Weeks,Price Return - Absolute Year to Date,"Price, Current [Local]",Warranted Default Price [Local],"Price, % 52 week High","Price, % Change to 26 Week High","Price, % Change to 26 Week Low","Price, % Change to 52 Week High","Price, % Change to 52 Week Low",Price / Earnings Ratio - FY1,Price / Earnings Ratio - FY2,Price / Earnings Ratio - LFY,Country (Domicile),Exchange Code,Industry Code - GICS Group,Industry Code - GICS Industry,Industry Code - GICS Sector,Industry Code - GICS Sub-Industry,Earnings Per Share - FY1 [Local],Earnings Per Share - FY2 [Local],Daily Volume Average (K shares),Price Return 2 Weeks Ago to 3 Weeks Ago,"Price, 52 Week High [Local]","Price, 52 Week Low [Local]",Price - Annual Closing [Local]
,APPLE INC,AAPL,USA,578.567,-3.80,-2.74,0.0,4.2,-11.3,-3.92,-15.1,-18.88,-2,104.35,234.88,21.27,16,10,27,10,11.57,10.42,11.34,USA,Not Available,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",Information Technology,"Technology Hardware, Storage & Peripherals",NA,NA,37851,-1.2,132.54,93.99,105.26
,ALPHABET INC,GOOGL,USA,498.582,-5.41,-2.86,-2.3,-1.0,2.6,-4.14,12.7,28.61,-4,725.37,"1,454.28",7.00,8,3,8,25,21.59,18.40,33.65,USA,Not Available,Software & Services,Internet Software & Services,Information Technology,Internet Software & Services,NA,NA,2388,-1.3,780.00,545.32,778.01
,MICROSOFT CORP,MSFT,USA,404.833,-6.95,-4.85,-4.5,-1.0,-2.1,-6.82,12.7,8.17,-6,51.44,57.10,7.99,9,2,9,17,19.34,17.80,37.23,USA,Not Available,Software & Services,Software,Information Technology,Systems Software,NA,NA,33842,-2.1,55.91,42.61,55.48
,EXXON MOBIL CORP,XOM,USA,364.190,3.01,5.19,4.2,14.3,5.5,5.51,9.5,0.64,11,87.63,95.18,1.53,0,15,2,18,36.59,21.24,20.25,USA,Not Available,Energy,"Oil, Gas & Consumable Fuels",Energy,Integrated Oil & Gas,NA,NA,14040,0.3,88.99,72.13,77.95
,BERKSHIRE HATHAWAY,BRK.B,USA,362.418,1.85,3.58,4.3,15.0,6.0,1.61,3.4,2.83,9,147.02,219.49,0.87,0,14,1,14,18.55,17.60,13.51,USA,Not Available,Diversified Financials,Diversified Financial Services,Financials,Multi-Sector Holdings,NA,NA,3869,-1.9,148.31,126.14,132.04
,JOHNSON & JOHNSON,JNJ,USA,311.085,2.85,3.87,4.6,17.1,13.0,3.78,14.3,12.11,10,112.91,154.90,0.36,0,14,0,19,17.11,16.13,18.47,USA,Not Available,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Health Care,Pharmaceuticals,NA,NA,8845,-0.1,113.32,91.00,102.72
,FACEBOOK INC,FB,USA,309.422,0.84,-0.06,-2.2,12.9,8.2,-4.74,14.0,35.61,5,108.76,219.13,6.29,7,13,7,28,34.20,26.27,79.89,USA,NA (USA),Software & Services,Internet Software & Services,Information Technology,Internet Software & Services,NA,NA,33932,-4.7,116.06,78.51,104.66
,AMAZON.COM INC,AMZN,USA,290.550,-0.86,4.36,6.4,4.0,3.6,3.68,17.2,39.41,-6,616.88,815.57,8.73,10,19,10,31,127.45,66.76,528.04,USA,Not Available,Retailing,Internet & Catalog Retail,Consumer Discretionary,Internet Retail,NA,NA,4787,-0.7,675.89,422.87,675.89
,GENERAL ELECTRIC CO,GE,USA,289.820,-0.87,-0.10,-1.1,8.9,4.2,-3.66,19.5,14.78,1,30.90,26.53,3.23,3,9,3,22,20.60,17.66,183.24,USA,Not Available,Capital Goods,Industrial Conglomerates,Industrials,Industrial Conglomerates,NA,NA,35633,-3.6,31.93,24.00,31.15
,WELLS FARGO & CO,WFC,USA,259.291,4.91,7.54,3.5,3.3,-7.5,4.48,-12.4,-7.46,-7,50.92,44.12,12.12,10,8,14,8,12.41,11.53,13.00,USA,Not Available,Banks,Banks,Financials,Diversified Banks,NA,NA,19715,-2.8,57.94,47.07,54.36
,JPMORGAN CHASE & CO,JPM,USA,234.206,3.39,10.79,7.5,12.3,0.2,6.85,-7.2,2.19,-3,63.93,64.32,7.63,7,11,8,11,11.36,9.99,10.91,USA,Not Available,Banks,Banks,Financials,Diversified Banks,NA,NA,18678,-3.6,69.21,56.95,66.03
,AT&T INC,T,USA,234.061,-1.07,-1.12,-2.1,8.3,12.8,-2.51,11.0,11.94,13,38.09,48.04,2.46,3,15,3,15,13.36,12.70,14.52,USA,Not Available,Telecommunication Services,Diversified Telecommunication Services,Telecommunication Services,Integrated Telecommunication Services,NA,NA,24676,-1.4,39.05,32.31,34.41
,WAL-MART STORES INC,WMT,USA,219.127,-0.49,0.97,1.1,9.6,17.9,-0.49,-4.0,-13.93,13,69.30,84.21,12.54,0,19,14,19,16.74,16.06,13.38,USA,Not Available,Food & Staples Retailing,Food & Staples Retailing,Consumer Staples,Hypermarkets & Super Centers,NA,NA,9740,-1.4,79.24,56.42,61.30
,PROCTER & GAMBLE CO,PG,USA,215.148,-1.64,-2.70,-2.3,4.6,5.1,-3.09,0.8,-0.06,3,79.55,54.90,4.76,5,7,5,14,22.10,19.89,25.13,USA,Not Available,Household & Personal Products,Household Products,Consumer Staples,Household Products,NA,NA,9079,-0.4,83.53,68.42,79.41
,VERIZON COMMUNICATIONS INC,VZ,USA,205.451,-1.56,-3.12,-5.6,7.5,9.5,-6.41,9.8,1.04,11,50.44,59.32,6.61,7,12,7,15,12.67,12.36,10.55,USA,Not Available,Telecommunication Services,Diversified Telecommunication Services,Telecommunication Services,Integrated Telecommunication Services,NA,NA,16215,-3.4,54.01,42.84,46.22
,PFIZER INC,PFE,USA,204.084,2.37,2.37,10.6,8.3,-2.3,10.75,-2.9,-5.67,3,33.05,34.26,8.35,3,12,9,12,14.37,13.12,28.57,USA,Not Available,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Health Care,Pharmaceuticals,NA,NA,48061,8.2,36.06,29.03,32.28
,ALIBABA GROUP HLDG,BABA,USA,196.171,1.16,3.12,5.3,13.5,5.6,1.47,-3.8,-5.53,-5,78.61,122.38,15.72,8,23,19,25,29.56,23.65,65.37,CHN,NA (USA),Software & Services,Internet Software & Services,Information Technology,Internet Software & Services,NA,NA,12533,-1.6,93.27,59.24,103.94
,CHEVRON CORP,CVX,USA,192.593,4.92,5.90,7.5,22.1,11.8,8.22,12.6,-7.15,12,102.29,156.85,6.19,0,20,7,26,92.57,21.63,36.57,USA,Not Available,Energy,"Oil, Gas & Consumable Fuels",Energy,Integrated Oil & Gas,NA,NA,9823,2.2,109.04,75.76,89.96
,COCA-COLA CO,KO,USA,192.548,-3.38,-4.97,-2.3,5.9,4.1,-4.89,10.1,8.93,3,44.53,28.11,4.99,5,7,5,14,22.95,21.83,25.42,USA,Not Available,"Food, Beverage & Tobacco",Beverages,Consumer Staples,Soft Drinks,NA,NA,15175,0.1,46.87,38.13,42.96
,VISA INC,V,USA,191.129,-1.21,1.38,6.7,8.8,2.6,1.96,5.8,17.23,1,78.53,73.16,2.33,2,10,2,16,28.35,24.69,30.06,USA,NA (USA),Software & Services,IT Services,Information Technology,Data Processing & Outsourced Services,NA,NA,9620,0.6,80.40,65.77,77.55
,DISNEY (WALT) CO,DIS,USA,178.313,5.25,7.62,6.7,7.1,-8.2,4.74,-12.7,-5.26,-2,104.89,97.94,12.64,14,13,14,13,17.93,16.73,21.23,USA,Not Available,Media,Media,Consumer Discretionary,Movies & Entertainment,NA,NA,7834,-2.7,120.07,91.15,105.08
,HOME DEPOT INC,HD,USA,169.446,0.48,1.53,4.0,10.5,8.9,0.60,19.4,19.31,3,135.34,116.20,0.24,0,14,0,19,21.83,19.25,24.09,USA,Not Available,Retailing,Specialty Retail,Consumer Discretionary,Home Improvement Retail,NA,NA,4927,-0.9,135.66,109.55,132.25
